bugID,sd,cl,pd,co,rp,os,bs,rs,pr,bsr,
551077,[api] double wrong in Signature re intersection vs union,Eclipse Project,JDT,Core,All,All,NEW,,P3,normal,
551078,#NAME?,,,,,,,,,,
longer,Tools,Oomph,Setup,PC,All,RESOLVED,WORKSFORME,P3,normal,,
551079,Plug-in org.eclipse.oomph.setup.editor was unable to instantiate class,,,,,,,,,,
org.eclipse.oomph.setup.presentation.SetupModelWizard.,Tools,Oomph,Setup,PC,Linux,RESOLVED,FIXED,P3,normal,,
551080,Eclipse release train not up to date in the Setup Product Model wizard,Tools,Oomph,Setup,PC,Linux,RESOLVED,FIXED,P3,normal,
551081,Update Target Platform to Eclipse 2019-09,IoT,4DIAC,4DIAC-IDE,PC,Linux,CLOSED,FIXED,P3,blocker,
551082,Support (or document) usage of APT preprocessors configured in the Eclipse-IDE,Eclipse Foundation,z_Archived,Tycho,PC,Linux,NEW,,P3,normal,
551083,[gen] NPE in DetailCodeTranslator,Modeling,eTrice,Generators,PC,Windows 10,RESOLVED,FIXED,P3,normal,
551084,NullPointerException at org.aspectj.ajdt.internal.core.builder.AjBuildManager.checkRtJar(AjBuildManager.java:1372),Tools,AspectJ,Compiler,PC,Mac OS,,,,,
X,RESOLVED,FIXED,P3,critical,,,,,,,
551085,Systemconfiguration plugin references wrong property sheet class AttributeSection2,IoT,4DIAC,4DIAC-IDE,PC,Linux,CLOSED,FIXED,P3,normal,
551086,Publish Eclipse 4.13 to maven central,Eclipse Project,Platform,Releng,PC,Windows 7,RESOLVED,FIXED,P3,normal,
551088,DiagnosticCache throws NPE when deleting a reference,Modeling,ECP,EMF Forms,PC,Linux,CLOSED,FIXED,P3,normal,
551089,Builds with libraries having spaces in the name fail,Tools,CDT,cdt-build-managed,All,All,NEW,,P3,normal,
551090,Changing default adapter created by system                                                                                                                                     throw exception,IoT,4DIAC,4DIAC-,,,,,,,
551091,[win32] OpenJ9 crashes in 4.13 with Mylyn,Eclipse Project,Platform,SWT,PC,Windows 7,CLOSED,FIXED,P3,normal,
551092,[13] org.eclipse.jdt.core.dom.CompilationUnit.getLineNumber(int) returns incorrect end line number after adding TextBlock,Eclipse,,,,,,,,,
Project,JDT,Core,All,All,RESOLVED,FIXED,P3,normal,,,
551093,[Quick Access] Button enlarges toolbar on Windows,Eclipse Project,Platform,UI,PC,Windows 7,VERIFIED,FIXED,P3,normal,
551095,[13] Conditional Breakpoint with TextBlock should consider Text Block terminal symbol,Eclipse Project,JDT,Debug,All,All,VERIFIED,FIXED,P3,normal,
551096,Unable to add the jar files are the options are being disabled,Technology,EPP,jee-package,PC,Windows 10,RESOLVED,INVALID,P3,critical,
551100,[Accessibility]A11y_Java Tooling for IntelliJ/Eclipse_ Available Software_ Screen Reader: Narrator/NVDA is not reading the error message provided for “Work with” field.,Eclipse,,,,,,,,,
Project,Platform,SWT,PC,Windows All,NEW,,P3,normal,,,
551101,Disable insertion triggers except 'Enter' does not work in Debug Shell,Eclipse Project,Platform,UI,PC,Windows 10,NEW,,P3,minor,
551103,EditNewObjectDialog must handle readonly resources,Modeling,ECP,EMF Forms,PC,Linux,CLOSED,FIXED,P3,normal,
551104,[Accessibility]A11y_Java Tooling for IntelliJ/Eclipse_Eclipse Marketplace_Screen Reader: NVDA is not reading the link 2 matches. Browser for more solutions.,Eclipse,,,,,,,,,
Project,Platform,SWT,PC,Windows All,NEW,,P3,normal,,,
551105,Make error message The project cannot be built until its prerequisite {0} is built more useful,Eclipse Project,JDT,UI,PC,Linux,NEW,,P3,normal,
551106,Job change events are not ordered,Eclipse Project,Platform,Runtime,All,All,NEW,,P3,enhancement,
551107,Content-Part synchronisation in Content-Behavior throws ArrayIndexOutOfBoundsException when undoing removal,Tools,GEF,GEF,,,,,,,
MVC,All,All,RESOLVED,FIXED,P3,critical,,,,,
551109,[4.14] API error in org.eclipse.ui.console,Eclipse Project,Platform,Debug,PC,Linux,VERIFIED,FIXED,P3,major,
551119,Non uniform behavior of changing System Changing Profile from system Explorer and from Editor.,IoT,4DIAC,4DIAC-IDE,PC,Windows,,,,,
10,CLOSED,FIXED,P3,normal,,,,,,,
551120,Application Model Editor does not display Icons stored in fragment of a host plugin,Eclipse Project,Platform,UI,PC,Windows 10,NEW,,P3,normal,
551122,Add content to Target editor should use the same identifier as Target editor Content tab,Eclipse Project,PDE,UI,PC,Linux,NEW,,P3,normal,
551124,[release] technology.openj9 0.17.0,Eclipse Foundation,Community,Proposals and Reviews,All,All,RESOLVED,FIXED,P3,normal,
551125,https://dev.eclipse.org/recommenders/committers/aeri/ is offline,Eclipse Foundation,Community,Servers,PC,Mac OS X,CLOSED,DUPLICATE,P3,normal,
551126,Update featured story and our footer for Eclipse IDE 2019-09,Eclipse Foundation,Community,Website,PC,Windows 10,RESOLVED,FIXED,P2,normal,
551127,The caret stops blinking after opening another shell,Eclipse Project,Platform,SWT,PC,Windows 10,CLOSED,WONTFIX,P3,minor,
551128,[Oomph] Project import of ease.modules not in setup tasks,Technology,Ease,Modules,All,All,CLOSED,FIXED,P3,minor,
551129,Circular dependency error reported that could be resolved due to main and test build separation,Eclipse Project,JDT,Core,PC,Windows 7,NEW,,P3,normal,
551130,Use the updated license feature,Technology,Handly,Other,All,All,RESOLVED,FIXED,P3,enhancement,
551131,Upgrade latest target to 2019-09,Technology,Handly,Other,All,All,RESOLVED,FIXED,P3,enhancement,
551134,[terminate] modeling.papyrus-xtuml,Eclipse Foundation,Community,Proposals and Reviews,PC,Windows 10,RESOLVED,FIXED,P3,normal,
551135,Update Drillstack to use isEmpty and Deque instead of stack,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,
551136,Automated Error Reporting (AERI) Server not reachable,Eclipse Foundation,Community,Servers,PC,Linux,NEW,,P3,normal,
551138,[terminate] modeling.m2t.jet,Eclipse Foundation,Community,Proposals and Reviews,PC,Linux,RESOLVED,FIXED,P3,normal,
551139,Use ToolItem Find Actions quick access similar to the perspective switcher,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,
551140,Externalize all strings in java files,IoT,4DIAC,4DIAC-IDE,PC,Linux,UNCONFIRMED,,P3,normal,
551141,git setup on JGit windows slave,Eclipse Foundation,Community,CI-Jenkins,PC,Windows All,CLOSED,FIXED,P3,normal,
551142,38867,Eclipse Project,Platform,UI,PC,Windows 10,RESOLVED,INVALID,P3,blocker,
551145,Memory leak on scrolling files (Abnormal Ram Consumption),Eclipse Project,Platform,SWT,PC,Mac OS X,CLOSED,DUPLICATE,P3,normal,
551146,[patch] Expanded/Contracted superset should mention which interface was added/removed,Eclipse Project,PDE,API Tools,PC,Windows,,,,,
7,RESOLVED,FIXED,P3,major,,,,,,,
551147,Unable to use I20190916-1800 build due cycle errors,Eclipse Project,Platform,Resources,All,All,VERIFIED,FIXED,P3,blocker,
551148,Debug output org.eclipse.equinox.p2.engine/certificatechecker/untrusted provides misleading information,Eclipse,,,,,,,,,
Project,Equinox,p2,All,All,RESOLVED,FIXED,P3,normal,,,
551149,UI Freeze in command parameter completion,Technology,EGit,UI,PC,Windows 10,RESOLVED,FIXED,P3,trivial,
551150,Slow import not taking advantage of available resources,Eclipse Foundation,z_Archived,m2e,PC,Mac OS X,NEW,,P3,normal,
551151,Modal Terminate failed popup often hidden behind Hot Code Replacement Failed,Eclipse Project,JDT,Debug,PC,Linux,NEW,,P3,normal,
551152,UI freezes on startup via DynamicSourcesWorkingSetUpdater,Eclipse Project,JDT,UI,PC,Linux,CLOSED,DUPLICATE,P3,normal,
551153,Long running quick access providers freeze UI,Eclipse Project,Platform,UI,All,All,RESOLVED,FIXED,P3,major,
551154,Add release number to I-build name on download.eclipse.org/eclipse/downloads page,Eclipse Project,Platform,Releng,PC,Windows 7,NEW,,P3,normal,
551155,One missing element in the Target Platform definition breaks the whole TP,Eclipse Project,PDE,UI,PC,Linux,NEW,,P3,normal,
551156,The eclipse-sdk-prereqs.target should use the fixed version of SUA 2.0,Eclipse Project,Platform,Releng,PC,Windows 7,RESOLVED,FIXED,P3,normal,
551158,Always use new qualifier for ISV doc plug-ins to get rid of manual touching,Eclipse Project,Platform,Releng,All,All,RESOLVED,WONTFIX,P3,normal,
551159,Meta model contains references that are removed according to documentation,Automotive,App4mc,Model Migration,PC,Windows 10,CLOSED,WONTFIX,P3,normal,
551160,Mosquitto: CVE request - extremely deep hierarchy causes stack overflow,Eclipse Foundation,Community,Vulnerability,,,,,,,
Reports,PC,Linux,RESOLVED,FIXED,P3,normal,,,,,
551162,Mosquitto: CVE request - use after free when using will delay interval,Eclipse Foundation,Community,Vulnerability Reports,PC,Linux,RESOLVED,FIXED,P3,normal,
551163,[Dark Theme] Selectable Form Editor Title should be dark when Eclipse is in dark theme,Eclipse Project,Platform,UI,Macintosh,Mac OS,,,,,
X,RESOLVED,FIXED,P3,normal,,,,,,,
551164,WorkspaceCommandStack.isSaveNeeded() does not consider AbstractCommand.NonDirtying,Modeling,EMF Services,Transaction,PC,All,NEW,,P3,normal,
551165,[release] science.xacc 1.0.0,Eclipse Foundation,Community,Proposals and Reviews,All,All,RESOLVED,FIXED,P3,normal,
551166,Add ECore Feature to the Update Sites,Modeling,ECP,EMF Forms,PC,Linux,CLOSED,FIXED,P3,normal,
551167,Mark commands and handlers from e4 model editor as persistState false in its Persisted State,Eclipse,,,,,,,,,
Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,,,
551168,Latest update breaks selected delete                                                                                                                                               refactor,,,,,,,,,,
551169,[terminate] technology.recommenders,Eclipse Foundation,Community,Proposals and Reviews,PC,Linux,RESOLVED,FIXED,P3,normal,
551170,Respect the new setting: Remove multiple spaces on backspace/delete,Eclipse Project,JDT,UI,All,All,RESOLVED,FIXED,P3,normal,
551171,Views with secondary ids recreated on perspective change,Eclipse Project,Platform,UI,All,All,VERIFIED,FIXED,P3,major,
551172,Keyple - Request to create additional repositories,Eclipse Foundation,Community,GitHub,All,All,RESOLVED,FIXED,P3,normal,
551173,Promote and Contribute 4.13 to Simrel,Eclipse Project,Platform,Releng,All,All,RESOLVED,FIXED,P3,normal,
551174,Comparator errors in 4.14 I build - I20190917-1800,Eclipse Project,Platform,Releng,PC,Windows 7,VERIFIED,FIXED,P3,normal,
551175,Umbrella Bug to record infrastructure issues during 4.14,Eclipse Project,Platform,Releng,All,All,RESOLVED,FIXED,P3,normal,
551176,external classpath entries in .launch config auto converted to project paths,Eclipse Project,JDT,Debug,PC,Windows 7,NEW,,P3,normal,
551177,[13] Merge BETA_JAVA13 branch into master after Java 13 GA,Eclipse Project,JDT,UI,All,All,RESOLVED,FIXED,P3,normal,
551178,R4_13 tag to be moved,Eclipse Foundation,Community,Git,All,All,RESOLVED,FIXED,P3,blocker,
551179,Performance: expanding tags node can take a long time (busy cursor),Technology,EGit,UI,All,All,NEW,,P3,normal,
551180,Debug Shell can't evaluate/inspect anymore,Eclipse Project,JDT,Debug,PC,All,VERIFIED,FIXED,P3,critical,
551182,Unexpected changes to eclipse-cyclonedds organization,Eclipse Foundation,Community,GitHub,PC,Mac OS X,CLOSED,FIXED,P3,normal,
551183,Allow to define a http reference to a target definition file,Eclipse Project,PDE,UI,PC,Linux,RESOLVED,WORKSFORME,P3,normal,
551184,Diagram editor dispose not removed from listeners if the diagram was in a newly created distant resource that has been removed,Modeling,Sirius,Diagram,PC,Windows,,,,,
10,RESOLVED,FIXED,P3,normal,,,,,,,
551185,Enable GitHub security advisories for Leshan,Eclipse Foundation,Community,GitHub,PC,Linux,NEW,,P3,normal,
551186,Problem markers not removed for resolved build cycle,Eclipse Project,JDT,Core,PC,Linux,NEW,,P3,normal,
551188,DATE_AND_TIME cannot be monitored,IoT,4DIAC,FORTE,PC,Windows 10,CLOSED,FIXED,P3,normal,
551189,Consistent ArrayIndexOutOfBounds when saving an incorrect Java file when code clean-up is enabled,Eclipse Project,JDT,Core,All,All,VERIFIED,FIXED,P3,normal,
551190,Support Zephyr on Jira,Technology,RCPTT,IDE,PC,Mac OS X,RESOLVED,FIXED,P3,normal,
551191,delete account,Eclipse Foundation,Community,Accounts.eclipse.org,All,All,RESOLVED,FIXED,P3,normal,
551192,Widget is disposed exception from Find Actions / Quick Access,Eclipse Project,Platform,UI,PC,All,RESOLVED,FIXED,P3,major,
551193,Error/Warning - Local variable declaration hides another field or variable: exclude static fields,Eclipse,,,,,,,,,
Project,JDT,Core,All,All,VERIFIED,WONTFIX,P3,enhancement,,,
551194,Signing Service Down?,Eclipse Foundation,Community,Servers,PC,Linux,CLOSED,FIXED,P3,normal,
551195,Repository info for Sprotty on GitHub,Eclipse Foundation,Community,GitHub,PC,Mac OS X,RESOLVED,FIXED,P3,normal,
551196,F2 gives sometimes a dialog with error message,Eclipse Project,JDT,UI,All,All,VERIFIED,FIXED,P3,normal,
551197,[patch] Report error on unnecessary version increment,Eclipse Project,PDE,API Tools,PC,Linux,RESOLVED,FIXED,P3,enhancement,
551198,Enable GitHub Integration in RasterFrames gitter channel,Eclipse Foundation,Community,GitHub,PC,Mac OS X,CLOSED,FIXED,P3,normal,
551199,Release repo https://download.eclipse.org/eclipse/updates/4.13/ is erroneous,Eclipse Project,Platform,Releng,All,All,CLOSED,INVALID,P3,blocker,
551200,[Git] openRepository() does not support relative paths,Technology,Ease,Modules,All,All,CLOSED,FIXED,P3,normal,
551201,[Git] Add methods to get/set repository config,Technology,Ease,Modules,All,All,NEW,,P3,normal,
551202,[Moka] The preferences are not save when the user check don't run validation before simulation,,,,,,,,,,
launch,Modeling,Papyrus,Moka,PC,Linux,CLOSED,FIXED,P3,normal,,
551206,CWE-338: Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),Eclipse Foundation,Community,Vulnerability,,,,,,,
Reports,All,All,RESOLVED,INVALID,P3,critical,,,,,
551207,Rust package's file a bug link goes nowhere.,Technology,EPP,package content,PC,Mac OS X,CLOSED,DUPLICATE,P3,normal,
551208,Impossible to use RCPTT with a product based on 201906 with antlr.runtime 4.3.0 only,Technology,RCPTT,IDE,PC,Windows 10,CLOSED,DUPLICATE,P3,major,
551209,core.runtime exports a versionized package with is different from the plug-in version,Eclipse Project,Platform,Runtime,PC,Linux,RESOLVED,WONTFIX,P3,normal,
551210,Wrong SHA-512 for download,Eclipse Project,Platform,Website,PC,Windows 10,CLOSED,FIXED,P3,normal,
551211,Take advantage of lambda in DisplayHelper,Eclipse Project,Platform,UI,All,All,RESOLVED,FIXED,P3,enhancement,
551212,Please update the PTP version for 2019-09 to 9.3.1,Eclipse Foundation,Community,Project Management & Portal,PC,Mac OS X,RESOLVED,FIXED,P3,normal,
551213,Remove the Details tab from the Simultaneous Release view,Eclipse Foundation,Community,Project Management & Portal,PC,Mac OS,,,,,
X,RESOLVED,FIXED,P3,normal,,,,,,,
551214,Add documentation about post-processed J9 JVM finalizer roots,Tools,MAT,Doc,All,All,RESOLVED,FIXED,P3,minor,
551216,Remove terminated working groups from Working Groups Explore page,Eclipse Foundation,Community,Website,PC,Linux,RESOLVED,FIXED,P3,normal,
551217,NPE in AdapterFactoryContentProvider.getPropertySource() when opening model compare,Modeling,EMFCompare,UI,PC,Mac OS X,RESOLVED,FIXED,P3,normal,
551218,Add Apache Trafodion support to EclipseLink,EE4J,EclipseLink,Foundation,All,Linux,NEW,,P3,enhancement,
551219,[proposal] ecd.jkube,Eclipse Foundation,Community,Proposals and Reviews,PC,Windows 10,RESOLVED,FIXED,P3,normal,
551220,[license] Alternative licensing approval for Eclipse Jkube (EPL 2.0 and Apache-2.0),Eclipse Foundation,Community,EMO Approvals,PC,Windows,,,,,
10,RESOLVED,FIXED,P3,normal,,,,,,,
551221,[trademark] Trademark approval required for Eclipse Jkube,Eclipse Foundation,Community,EMO Approvals,PC,Windows 10,RESOLVED,FIXED,P3,normal,
551222,Translation hints produces no results,Technology,Babel,Server,PC,Linux,RESOLVED,FIXED,P3,normal,
551223,Remove Automatic Error Reporting Plugins,IoT,4DIAC,4DIAC-IDE,PC,Linux,CLOSED,FIXED,P3,blocker,
551225,Text becomes blurry on horizontal scroll in mac,Eclipse Project,Platform,IDE,Macintosh,Mac OS X,CLOSED,DUPLICATE,P3,major,
551227,[13] Wrong syntax highlights of preview switch expressions,Eclipse Project,JDT,UI,All,All,VERIFIED,FIXED,P3,normal,
551228,Unable to parse metadata XML at /OSGI-INF/metatype/metatype.properties,Eclipse Project,Equinox,Compendium,PC,Linux,CLOSED,DUPLICATE,P3,normal,
551229,Download links are broken,Eclipse Foundation,z_Archived,PDT,PC,Linux,CLOSED,FIXED,P3,normal,
551230,Merge BETA_JAVA13 branch into master for pde.ui and pde.build,Eclipse Project,PDE,UI,PC,Windows 7,VERIFIED,FIXED,P3,normal,
551231,Few reports are not created with I20190918-1800,Eclipse Project,Platform,Releng,PC,Windows 7,RESOLVED,FIXED,P3,normal,
551232,[DB] Support range-based mappings in CDOServerImporter,Modeling,EMF,cdo.db,PC,Windows 7,CLOSED,FIXED,P3,enhancement,
551234,PaletteData#colors is null on Linux since 4.13,Eclipse Project,Platform,SWT,PC,Linux,RESOLVED,WORKSFORME,P3,normal,
551235,Ensure compatibilty with Eclipse 2019-12,Modeling,Sirius,Core,All,All,CLOSED,FIXED,P3,normal,
551236,OSX Mojave - Debug mode - Arguments passed enclosed in single quotes,Tools,CDT,cdt-debug,Macintosh,Mac OS X,NEW,,P3,normal,
551237,Add tracing option for build cycles,Eclipse Project,Platform,Resources,PC,Linux,RESOLVED,FIXED,P3,normal,
551238,NPE in ExtendedPropertySheetPage,Modeling,EMF,Edit,PC,Windows 10,CLOSED,FIXED,P3,normal,
551239,EClass direct edit fails,Modeling,Ecoretools,General,PC,Linux,CLOSED,FIXED,P3,major,
551240,Outline view does not update when editor caret is moved with hierarchical symbols,Technology,lsp4e,IDE,Macintosh,Mac OS X,UNCONFIRMED,,P3,normal,
551241,java.lang.ClassNotFoundException: com.sun.xml.internal.bind.v2.ContextFactory,Eclipse Project,Equinox,Framework,PC,Linux,NEW,,P3,normal,
551242,Add plugin to JIPP of project Ditto (hipp6),Eclipse Foundation,Community,CI-Jenkins,PC,Windows 10,CLOSED,FIXED,P3,normal,
551243,FETCH_HEAD isn't updated in the git history,Technology,JGit,JGit,PC,Mac OS X,NEW,,P3,normal,
551244,Mapping invocation on null,Modeling,QVTo,Engine,PC,Windows 10,NEW,,P3,minor,
551246,Writing lots of log entries freezes the UI,Eclipse Project,Platform,UI,PC,Linux,NEW,,P3,normal,
551247,API check does not recognize changed class hierarchy across dependencies,Eclipse Project,PDE,API Tools,PC,Linux,NEW,,P3,normal,
551248,NPE in target editor if filtering content while the target platform is still loading,Eclipse Project,PDE,UI,PC,Linux,NEW,,P3,normal,
551249,Sirius nature has no name,Modeling,Sirius,Core,PC,Windows 10,CLOSED,FIXED,P3,trivial,
551250,Add strict/standard support,Modeling,QVTo,Engine,PC,Windows 10,RESOLVED,INVALID,P3,normal,
551251,Save action remove redundant modifiers remove non-redundant modifier,Eclipse Project,JDT,UI,PC,Windows 10,CLOSED,FIXED,P3,normal,
551252,Detail Formatters - Cannot output Boolean objects to its string representation,Eclipse Project,JDT,Debug,PC,Linux,NEW,,P3,normal,
551253,Feature-request: Project explorer background color based on current git branch,Technology,EGit,UI,All,All,NEW,,P3,enhancement,
551254,Enable rolling builds on appveyor for eclipse/sumo,Eclipse Foundation,Community,GitHub,PC,Windows 7,CLOSED,FIXED,P3,normal,
551255,Exception when importing a uftrace directory,Tools,Tracecompass.Incubator,Trace types,PC,Windows 10,CLOSED,FIXED,P3,normal,
551256,Issue with Java,Eclipse Project,Platform,IDE,PC,Windows 10,CLOSED,WORKSFORME,P3,normal,
551257,Eclipse 4.13 (2019-09) checksum mismatch (SHA-512),Eclipse Project,Platform,Releng,All,All,RESOLVED,FIXED,P3,major,
551258,[release] technology.sumo 1.3.1,Eclipse Foundation,Community,Proposals and Reviews,All,All,RESOLVED,FIXED,P3,normal,
551260,Clicking Change Workspace on Older Workspace Version dialog just redisplays the dialog,Eclipse Project,Platform,IDE,PC,Windows,,,,,
10,RESOLVED,FIXED,P3,normal,,,,,,,
551261,After update to 2019-09: The Eclipse executable launcher was unable to locate its companion shared library,Eclipse Project,Platform,IDE,PC,Linux,NEW,,P3,major,
551262,Allow using new Quick Search dialog as a view,Eclipse Project,Platform,IDE,Other,Linux,NEW,,P3,enhancement,
551263,Bump org.eclipse.jdt.junit.core to allow gerrit builds to succeed,Eclipse Project,JDT,UI,PC,Linux,RESOLVED,FIXED,P3,normal,
551264,SFTP file content becomes persistently outdated (out of sync) after An internal error has occurred. (SWTException Widget is disposed)                                     until cache is manually deleted,Tools,,,,,,,,,
551265,critical path: Wakeup within the context of IRQ not linked with source,Tools,Tracecompass,LTTng,PC,Linux,NEW,,P3,normal,
551266,Move californium vserver to the eclipseprojects.io domain,IoT,Californium,Californium,PC,Linux,RESOLVED,FIXED,P3,normal,
551267,Move che vserver to the eclipseprojects.io domain,ECD,Che,General,PC,Linux,RESOLVED,FIXED,P3,normal,
551268,Move ditto vserver to the eclipseprojects.io domain,IoT,Ditto,General,PC,Linux,RESOLVED,FIXED,P3,normal,
551269,Move egerrit vserver to the eclipseprojects.io domain,Technology,Egerrit,Core,PC,Linux,RESOLVED,FIXED,P3,normal,
551270,Move hono vserver to the eclipseprojects.io domain,Eclipse Foundation,Community,vservers,PC,Linux,RESOLVED,FIXED,P3,normal,
551271,Move kapua vserver to the eclipseprojects.io domain,IoT,Kapua,General,PC,Linux,RESOLVED,FIXED,P3,normal,
551272,Move milo vserver to the eclipseprojects.io domain,IoT,Milo,General,PC,Linux,RESOLVED,FIXED,P3,normal,
551273,Move packagedrone vserver to the eclipseprojects.io domain,Eclipse Foundation,z_Archived,Package-drone,PC,Linux,RESOLVED,FIXED,P3,normal,
551274,Move rdf4j vserver to the eclipseprojects.io domain,Eclipse Foundation,Community,vservers,PC,Linux,RESOLVED,FIXED,P3,normal,
551275,Move rtsc vserver to the eclipseprojects.io domain,Technology,RTSC,Core,PC,Linux,RESOLVED,FIXED,P3,normal,
551276,Move tracecompass vserver to the eclipseprojects.io domain,Tools,Tracecompass,Core,PC,Linux,CLOSED,WORKSFORME,P3,normal,
551277,Move unide vserver to the eclipseprojects.io domain,IoT,Unide,General,PC,Linux,RESOLVED,FIXED,P3,normal,
551278,Move vertx vserver to the eclipseprojects.io domain,RT,Vertx,Core,PC,Linux,CLOSED,WORKSFORME,P3,normal,
551279,Move vorto vserver to the eclipseprojects.io domain,IoT,Vorto,General,PC,Linux,CLOSED,FIXED,P3,normal,
551280,Move hawkbit vserver to the eclipseprojects.io domain,IoT,Hawkbit,General,PC,Linux,RESOLVED,FIXED,P3,normal,
551281,Move kuksa vserver to the eclipseprojects.io domain,Automotive,Kuksa,General,PC,Linux,RESOLVED,FIXED,P3,normal,
551282,Move leshan vserver to the eclipseprojects.io domain,Eclipse Foundation,Community,vservers,PC,Linux,RESOLVED,FIXED,P3,normal,
551283,Move paho vserver to the eclipseprojects.io domain,IoT,Paho,Website,PC,Linux,RESOLVED,FIXED,P3,normal,
551284,build path cycle message lists too many projects to be useful,Eclipse Project,JDT,Core,All,All,VERIFIED,FIXED,P3,normal,
551285,Improve EMF code patterns,Modeling,EMF,Core,PC,Windows 7,CLOSED,FIXED,P3,enhancement,
551286,[13] Test failures in I Build after Java 13 merge,Eclipse Project,JDT,Core,PC,Mac OS X,VERIFIED,FIXED,P3,normal,
551287,Enable null warning checks and fix the associated problems,Modeling,EMF,Core,PC,Windows 7,CLOSED,FIXED,P3,normal,
,,,,,,,,,,,
551288,When debug                                                                                                                                                                        the Resume,,,,,,,,,,
551289,Pull operation should not refresh _all_ projects of that repository,Technology,EGit,UI,PC,Windows 10,RESOLVED,FIXED,P3,normal,
551290,The API problem filter for: 'ASTInstructionCompiler' is no longer used,Eclipse Project,JDT,Debug,PC,Mac OS X,RESOLVED,INVALID,P3,normal,
551291,Refactor InlineRefactoring to jdt.core.manipulation for use by jdt.ls,Eclipse Project,JDT,UI,PC,Windows 10,RESOLVED,FIXED,P3,normal,
551292,Use the same plexus container as Maven 3.1.0+,Eclipse Foundation,z_Archived,Tycho,PC,Linux,RESOLVED,FIXED,P3,normal,
551293,53 test fails in pde.api.tools.tests after merging Java 13 patches to master,Eclipse Project,PDE,API Tools,All,All,RESOLVED,DUPLICATE,P3,major,
551294,File name is being shorten when download the source code in a .tar-file,Technology,EGit,GitHub,PC,Windows 10,CLOSED,DUPLICATE,P3,normal,
551295,File name is being shorten when download the source code in a .tar-file,Technology,EGit,GitHub,PC,Windows 10,CLOSED,NOT_ECLIPSE,P3,critical,
551296,Eclipse Marketplace window is opened behind workspace,Technology,MPC,wizard,All,Linux,NEW,,P3,normal,
551297,Extend technical differences for Sirius 6.3,Modeling,EMF.Diffmerge,UI,PC,Windows 7,RESOLVED,FIXED,P3,normal,
551298,[JUnit 5] Missing 'Run As... - JUnit Test' or 'No tests found with test runner JUnit5',Eclipse Foundation,z_Archived,m2e,All,All,RESOLVED,FIXED,P3,major,
551299,Problem with include_next <stdint.h>,Tools,CDT,cdt-parser,Other,Windows 10,RESOLVED,FIXED,P3,normal,
551300,Importing System does not import the FBs,IoT,4DIAC,4DIAC-IDE,PC,Windows 10,CLOSED,WONTFIX,P3,normal,
551301,PHP 7.4 Support,Eclipse Foundation,z_Archived,PDT,PC,Windows 10,CLOSED,FIXED,P3,enhancement,
551302,[GTK] Progress view hides contents when system dialog is opened,Eclipse Project,Platform,SWT,PC,Linux,VERIFIED,FIXED,P3,normal,
551303,[GTK3] DND from SWT to embbedded AWT frame (SWT_AWT) is broken on Linux                                                                                                         application crashes in few minutes,Ecl,,,,,,,,,
551304,[StyledText] Simplify boolean expression,Eclipse Project,Platform,SWT,PC,Windows All,RESOLVED,FIXED,P3,trivial,
551305,Java Doc error in I20190919-1800,Eclipse Project,JDT,Core,All,All,VERIFIED,FIXED,P3,normal,
551306,Making changes outside of Eclipse marks files as changed when they are not,Technology,EGit,Core,PC,Windows 10,CLOSED,DUPLICATE,P3,normal,
551307,Header word wrap does not support SWT.RIGHT alignment,Eclipse Foundation,z_Archived,Nebula,PC,Windows 10,RESOLVED,FIXED,P3,normal,
551308,Request a new repository,Eclipse Foundation,Community,GitHub,PC,Windows 10,RESOLVED,FIXED,P3,normal,
551309,[releng] Align versions,Modeling,OCL,Core,PC,Windows 10,NEW,,P3,normal,
551310,[Project Explorer] Add filters and customization action to the view toolbar,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,
551311,Publish tests results using Java 13 and drop testing with java12,Eclipse Project,Platform,Releng,PC,Windows 7,RESOLVED,FIXED,P3,normal,
551312,Newsletter page content is hidden when using adblocker,Eclipse Foundation,Community,Website,PC,Mac OS X,RESOLVED,FIXED,P3,normal,
551313,[Project Explorer] Filters and Customization dialog is missing some tab icons,Eclipse Project,Platform,UI,All,All,VERIFIED,FIXED,P3,normal,
,,,,,,,,,,,
551314,Minimize                                                                                                                                                                        Maximize,,,,,,,,,,
551315,Register for an URI extension to start Oomph installer by clicking on an URI,Tools,Oomph,Setup,PC,Linux,NEW,,P3,enhancement,
551316,Online Babel Translator: No messages in eclipse 4.12,Technology,Babel,Server,PC,Windows 10,RESOLVED,FIXED,P3,normal,
551317,Correct QVTo archive ownership,Eclipse Foundation,Community,Servers,PC,Windows 10,RESOLVED,FIXED,P3,normal,
551318,[Win32] ToolItem.setDisabledImage() JUnit test failure,Eclipse Project,Platform,SWT,PC,All,RESOLVED,FIXED,P3,normal,
551319,[Cocoa][Win] ToolItem.setDisabledImage() JUnit test failure,Eclipse Project,Platform,SWT,PC,Mac OS X,VERIFIED,FIXED,P3,normal,
